,title,year,budget,director,actor,companies,genres,plot_keywords,genresOneHot,language,country,score
1513,The Big Short,2015.0,0.09967845659163987,0.647,0.666,0.638,0.643,bank|fraud|biography|wall street|finances|based on true story|animated sequence|breaking the fourth wall|loan|financial crisis|real estate|mortgage,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.3
1514,Miracle,2004.0,0.1397204091329682,0.66,0.697,0.626,0.678,olympic games|sport|ice hockey|milwaukee wisconsin|st. paul minnesota|gas rationing|lake placid new york|aftercreditsstinger|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.]",English,United States of America,7.0
1515,Dawn of the Dead,2004.0,0.1397204091329682,0.649,0.66,0.652,0.608,refugee|mass murder|habor|car journey|department store|blackout|bus ride|pregnancy and birth|dying and death|bite|to shoot dead|lorry|munition|basement garage|guard|zombie|dog|car|duringcreditsstinger,"[ 1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.8
1516,The Wedding Planner,2001.0,0.24187725631768953,0.604,0.587,0.576,0.616,san francisco|marriage proposal|love of one's life|wedding planer|man of one's dreams|wine garden|wedding|sicilian|star crossed lovers|wedding day|meant for each other,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
1517,Space Pirate Captain Harlock,2013.0,0.1141732283464567,0.65,0.65,0.65,0.637,,"[ 0.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",日本語,Japan,6.5
1518,The Royal Tenenbaums,2001.0,0.1407942238267148,0.741,0.642,0.647,0.643,forgiveness|child prodigy|terminal illness|dysfunctional family|cigarette smoking|family conflict,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
1519,Identity,2003.0,0.14786967418546365,0.681,0.621,0.631,0.631,weather|multiple character|scream|convict|psychopathy|rainstorm,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,7.1
1520,Last Vegas,2013.0,0.1062992125984252,0.626,0.649,0.619,0.616,casino|male friendship|stag night|las vegas|elderly,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
1521,For Your Eyes Only,1981.0,1.0,0.612,0.646,0.661,0.622,london england|submarine|england|sea|assassin|mountains|undercover|olympic games|drug traffic|secret mission|secret intelligence service|kgb|coral reef|ski jump|parrot|cryptographic device|gang of smugglers|figure skating|motorcycle|monastery|british secret service|skiing,"[ 1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",ελληνικά,United Kingdom,6.3
1522,Serendipity,2001.0,0.19133574007220217,0.617,0.636,0.637,0.63,soulmates|new love|book|dollar|fate|destiny,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
1523,Timecop,1994.0,0.23460290676941542,0.56,0.538,0.588,0.627,martial arts|time travel|science fiction|alternative reality,"[ 1.  0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Japan,5.5
1524,Zoolander,2001.0,0.19133574007220217,0.6,0.602,0.616,0.616,male model|time magazine|fashion show|fashion model|fictional awards show|lincoln assassination|coal mine,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,6.1
1525,Safe Haven,2013.0,0.1062992125984252,0.707,0.627,0.65,0.644,based on novel|small town|widower|single father|abusive husband,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.9
1526,Hocus Pocus,1993.0,0.31736526946107785,0.64,0.606,0.637,0.62,witch|halloween|salem|trick or treating|spellcasting,"[ 0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
1527,No Reservations,2007.0,0.09328799773322,0.643,0.618,0.613,0.616,italy|competition|loss of mother|loss of sister|new love|cook|cooking|restaurant|bars and restaurants|mother role|funeral|kitchen|perfectionist,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Australia,6.1
1528,Kick-Ass,2010.0,0.10597302504816955,0.707,0.663,0.625,0.633,crime fighter|secret identity|comic book|superhero|murder|comedy|mafia|teenager|violence|realism|rookie|adaptation|young adult|kickass,"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,7.1
1529,30 Minutes or Less,2011.0,0.07351354196825731,0.633,0.592,0.624,0.62,pizza delivery|adventure|pizza boy|number in title|comedy|aftercreditsstinger,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.6
1530,Dracula 2000,2000.0,0.21031746031746032,0.507,0.632,0.495,0.605,vampire|dracula|bite|blood|vlad|fang vamp,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.6
1531,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,0.10861272836779763,0.603,0.629,0.627,0.621,based on novel|job interview|bad luck|wish|one day|based on children's book|driver's test,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
1532,Pride & Prejudice,2005.0,0.13127881582140258,0.682,0.689,0.659,0.657,bachelor|beautiful|prejudice|suitor|period drama|georgian|pride|18th century|opposites attract,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,France,7.7
1533,Blade Runner,1982.0,1.0,0.672,0.688,0.711,0.637,artificial intelligence|man vs machine|cyborg|bounty hunter|android|dystopia|genetics|fugitive|cyberpunk|los angeles|tech noir|neo-noir,"[ 0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.9
1534,Rob Roy,1995.0,0.15273775216138327,0.573,0.644,0.657,0.627,scotland|biography|18th century|highlands|violent man,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.5
1535,3 Days to Kill,2014.0,0.10861272836779763,0.588,0.624,0.606,0.639,retirement|secret service|illegal drugs,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,France,6.0
1536,We Own the Night,2007.0,0.06995349767488375,0.643,0.643,0.623,0.646,new york|father son relationship|nightclub|gangster,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
1537,Just My Luck,2006.0,0.10137393241737838,0.584,0.594,0.602,0.635,jinx|bad luck|kiss|romantic comedy|alcohol abuse|celebration|envy|luck|mysterious stranger|masquerade,"[ 0.  0.  1.  0.  0.  1.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
1538,The Spy Next Door,2010.0,0.10597302504816955,0.515,0.583,0.571,0.62,duringcreditsstinger,"[ 1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
1539,Ghosts of Mars,2001.0,0.19133574007220217,0.646,0.568,0.533,0.609,climbing up a wall|hung upside down|flashback within a flashback|cavern|battering|ram|ghost town,"[ 1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.8
1540,Our Brand Is Crisis,2015.0,0.09967845659163987,0.59,0.62,0.635,0.643,bolivia|woman|political campaign|south america|year 2002,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
1541,Pride and Prejudice and Zombies,2016.0,0.09939148073022312,0.613,0.569,0.585,0.618,based on novel|dystopia|shaolin|prejudice|zombie|pride|golddigger|regency period|parson|mashup,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
1542,How to Lose Friends & Alienate People,2008.0,0.11909952395782356,0.62,0.638,0.644,0.643,failure|starlet,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.2
1543,Kick-Ass 2,2013.0,0.1062992125984252,0.61,0.663,0.642,0.631,crime fighter|secret identity|marvel comic|superhero|aftercreditsstinger|teen superheroes,"[ 1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
1544,Brick Mansions,2014.0,0.10861272836779763,0.545,0.604,0.615,0.645,martial arts|atomic bomb|ghetto|parkour|cops|remake|undercover cop|gangster|remake of french film,"[ 1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,5.7
1545,Octopussy,1983.0,0.6420765027322405,0.612,0.621,0.638,0.622,atomic bomb|eastern block|crocodile|secret intelligence service|kgb|snake charmer|hot air balloon|east berlin|british secret service,"[ 1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Deutsch,United Kingdom,6.2
1546,Knocked Up,2007.0,0.09995499774988749,0.592,0.598,0.623,0.643,alcohol|one-night stand|bed|pregnancy and birth|condom|paternity|drug use|beard|unprotected sex|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
1547,My Sister's Keeper,2009.0,0.11911911911911911,0.7,0.629,0.691,0.669,parents kids relationship|sister sister relationship|court case|in vitro fertilisation|medical examiner|kidney transplant ,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Hrvatski,United States of America,7.1
1548,Notes on a Scandal,2006.0,0.05310063126624582,0.69,0.644,0.666,0.657,sex|adultery|based on novel|cat|infidelity|secret|obsession|blackmail|nudity|seduction|studio|friendship|stalker|love|loneliness|teacher|conservative|student|teenager|relationship|art|female stalker|extramarital affair|journal|sitting on a toilet,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.9
1549,Rendition,2007.0,0.09162124772905311,0.633,0.64,0.631,0.645,anti terror|terror|cia|loss of son|police brutality|terrorist|loss of brother|war against terror|kidnapping|intelligence|despair|inhumanity|senator|plo|civil rights activist|hijacking|terror cell|loss of husband|politics|politician|government|loss of daughter|torture by the police|torture|cruelty|american|surveillance,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",العربية,United States of America,6.2
1550,Star Trek VI: The Undiscovered Country,1991.0,0.2512820512820513,0.7,0.656,0.636,0.622,farewell|federation|starfleet|peace conference|uss enterprise-a|rura penthe|court case|peace contract|plan|klingon|space opera,"[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.7
1551,Kiss the Girls,1997.0,0.13422079871884696,0.618,0.654,0.613,0.645,washington d.c.|covered investigation|investigation|north carolina|missing person,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
1552,The Blues Brothers,1980.0,0.49056603773584906,0.677,0.68,0.633,0.635,dancing|prison|chicago|country music|nun|jazz|car journey|blues|nazis|music|concert|music instrument|children's home|shopping mall|orphanage|winnebago|church|sunglasses|parole|car chase|music band|loudspeaker|saturday night live|wrigley field|holiday inn,"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.
  0.]",English,United States of America,7.5
1553,The Sisterhood of the Traveling Pants 2,2008.0,0.11909952395782356,0.6,0.614,0.5,0.634,female friendship|best friend|summer vacation|woman director|young adult,"[ 0.  1.  0.  0.  0.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.0
1554,About a Boy,2002.0,0.18996415770609318,0.61,0.659,0.633,0.643,london england|rock and roll|single parent|rap music|bachelor|becoming an adult|friendship|single,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.6
1555,Lake Placid,1999.0,0.15852653877839237,0.573,0.594,0.601,0.613,diving|sheriff|lake|crocodile|deputy|paleontologist|cow|maine|decapitation|severed head|scientist|remote|tooth|bear attack|campfire|severed toe|torso cut in half|giant crocodile|crocodile attack|animal horror,"[ 1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.5
1556,Lucky Number Slevin,2006.0,0.09766060155959896,0.657,0.628,0.712,0.645,assassination|assassin|identity|sniper|mistake in person|jew|gangster boss|gambling debts|boss|murder|sniper rifle|fbi agent|horse racing|gambler|slevin|caso|hoodlum|black men,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,Germany,7.4
1557,The Right Stuff,1983.0,0.6284153005464481,0.705,0.673,0.672,0.678,cold war|pilot|space travel|politics|historical figure|flight|astronaut|space race|sound barrier,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.]",English,United States of America,7.3
1558,Anonymous,2011.0,0.07877766957071039,0.613,0.639,0.619,0.66,shakespeare|anonymity|poet|play|political|duringcreditsstinger|false history,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.]",English,United Kingdom,6.3
1559,The NeverEnding Story,1984.0,0.6623376623376623,0.657,0.7,0.705,0.635,based on novel|fictional place|wolf|mythology|magic|horse|book|fairy tale|bully|school|talking animal|reading|book store|fantasy world|giant|gnome|quest,"[ 0.  1.  1.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Germany,7.0
1560,Dark City,1998.0,0.19251107617550378,0.648,0.667,0.617,0.63,soul|sleep|manipulation|future|dystopia|chaos|memory|duel|parallel world|tech noir|matrix|neo-noir|retrofuturism,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,Australia,7.2
1561,Return to Oz,1985.0,0.5454545454545454,0.67,0.657,0.67,0.624,wizard of oz,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.7
1562,Case 39,2009.0,0.10710710710710711,0.63,0.63,0.641,0.617,child abuse|detective|social worker|supernatural|murder|mental institution|youth|violence|danger|cityscape|drawn|falling elevator|pier|psychological|deadly|mind and soul|supernatural ability,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.]",English,Canada,6.1
1563,Spy Kids: All the Time in the World,2011.0,0.07088147816703076,0.593,0.483,0.565,0.62,spy|child hero|secret agent|espionage,"[ 1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,4.4
1564,Money Monster,2016.0,0.09533468559837728,0.64,0.651,0.621,0.622,bomb|sniper|tv show|hostage drama|police|hostage-taking|new york city|stock market|stock fraud|woman director|tv studio,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
1565,Mindhunters,2004.0,0.13471878360467152,0.559,0.615,0.619,0.637,fbi|island|serial killer|series of murders,"[ 0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,Finland,6.3
1566,What Just Happened,2008.0,0.11020153935133692,0.628,0.648,0.605,0.643,film producer|midlife crisis|independent film|divorce,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",Français,United States of America,5.2
1567,Paul Blart: Mall Cop,2009.0,0.1031031031031031,0.552,0.534,0.578,0.621,security guard|duringcreditsstinger,"[ 1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.2
1568,Freaky Friday,2003.0,0.12781954887218044,0.628,0.598,0.602,0.616,single parent|brother sister relationship|mistake in person|bride|talk show|body exchange|motherly love|high school|mother daughter relationship|wedding|psychiatrist|body-swap|music band|teen comedy|child as an adult|adult as a child,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",普通话,United States of America,6.0
1569,The 40 Year Old Virgin,2005.0,0.12157243387527299,0.592,0.627,0.623,0.63,first time|virgin,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
1570,Shakespeare in Love,1998.0,0.1782192368157782,0.636,0.65,0.667,0.666,shakespeare|love of one's life|oscar award|theatre play|theatre group|writer's block|theatre milieu|author|speculative|false history,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.
  0.]",English,United States of America,6.8
1571,A Walk Among the Tombstones,2014.0,0.10861272836779763,0.62,0.618,0.64,0.645,based on novel|murder|mafia|private investigator|new york city|alcoholic|kingpin|wife murder|matt scudder,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
1572,Kindergarten Cop,1990.0,0.06779661016949153,0.603,0.583,0.631,0.616,crime fighter|cook|drug dealer|dying and death|kindergarten|kiss|police|teacher|children education,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.8
1573,Pineapple Express,2008.0,0.11909952395782356,0.59,0.602,0.618,0.617,smoking|marijuana|stoner|roach|lollipop|painting toenails|radio call in show|driving through a wall|seed|reference to pandora's box,"[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.6
1574,Ever After: A Cinderella Story,1998.0,0.18536515649564098,0.608,0.637,0.63,0.643,france|child abuse|slavery|leonardo da vinci|prince|fairy tale|royalty|orphan|evil stepmother|step siblings|16th century|brigands|gypsies|classism|bandits|commoner|emotional abuse,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.8
1575,Open Range,2003.0,0.10776942355889724,0.69,0.666,0.647,0.677,horse|beef|ranger,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.0
1576,Flatliners,1990.0,0.2542372881355932,0.613,0.64,0.631,0.625,life and death|afterlife|swing|memory|medical student|confetti,"[ 0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
1577,A Bridge Too Far,1977.0,1.0,0.715,0.675,0.686,0.683,netherlands|world war ii|panzer|british soldier,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.]",English,United Kingdom,6.9
1578,Red Eye,2005.0,0.12157243387527299,0.595,0.674,0.613,0.605,hostage|menace|hitman|airplane,"[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
1579,Final Destination 2,2003.0,0.12781954887218044,0.548,0.595,0.607,0.615,ambulance|premonition|hospital,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
1580,"O Brother, Where Art Thou?",2000.0,0.19444444444444445,0.689,0.652,0.656,0.62,prophecy|southern usa|music record|country music|mississippi|seduction|musical|fraud,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,France,7.3
1581,Legion,2010.0,0.09826589595375723,0.53,0.583,0.674,0.589,angel|diner|religion|apocalypse|demon|desert|angels,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.2
1582,Pain & Gain,2013.0,0.09448818897637795,0.64,0.609,0.607,0.629,miami|scam|crime|weight lifting|weightlifting|duringcreditsstinger,"[ 1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
1583,Silverado,1985.0,0.569377990430622,0.63,0.676,0.624,0.653,sheriff|fight|horse|male friendship|two guns belt,"[ 1.  0.  0.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.1
1584,Brothers,2009.0,0.1031031031031031,0.63,0.677,0.61,0.661,brother brother relationship|brother-in-law|loss of husband|war in afghanistan|sister-in-law,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.
  0.]",English,United States of America,6.8
1585,Agent Cody Banks 2: Destination London,2004.0,0.12971715807637482,0.52,0.542,0.564,0.616,london england|cia|teenage hero|teen spy|cia agent,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.2
1586,New Year's Eve,2011.0,0.14721132840260048,0.601,0.604,0.622,0.63,new year's eve|illustrator|caterer|pedicab|ticket|videoconferencing|multiple storylines|duringcreditsstinger,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.7
1587,Original Sin,2001.0,0.2924187725631769,0.58,0.603,0.621,0.644,women|sex|cuba|eroticism|lover (female)|passion|coffee grower|sin|denunciation,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.
  0.]",English,France,5.8
1588,The Raven,2012.0,0.09739633558341369,0.635,0.607,0.611,0.637,poison|blackmail|masked ball|historical figure|buried alive|serial killer|deadline|edgar allan poe|newspaper review|baltimore maryland|newspaper office|hard times|life imitates art|pendulum,"[ 0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,Hungary,6.1
1589,Highlander: The Final Dimension,1994.0,0.2259052125281588,0.45,0.519,0.45,0.618,japan|new york|scotland|morocco|good and bad,"[ 1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Canada,4.5
1590,Self/less,2015.0,0.09253304751697035,0.588,0.652,0.635,0.627,lie|immortality|terminal illness|laboratory|cancer|doctor|body-swap|death|rich|false memory|soul transference|rich man|mind transfer|host body|body snatching|eternal,"[ 0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",English,United States of America,6.3
1591,The Constant Gardener,2005.0,0.1167192429022082,0.71,0.64,0.658,0.644,aids|diplomat|nairobi|politician|pharmaceutical industry|cancer|morgue|genocide in rwanda,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.]",Deutsch,China,6.8
1592,The Passion of the Christ,2004.0,0.1497236601895616,0.73,0.669,0.649,0.669,christianity|jewry|roman empire|jesus christ|suffering|apostle|last supper|roman|bible|mission|torture,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",עִבְרִית,United States of America,6.9
1593,Mrs. Doubtfire,1993.0,0.281437125748503,0.656,0.63,0.665,0.637,san francisco|parents kids relationship|restaurant|nanny|mask|custody battle|fake identity,"[ 0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.0
1594,Rain Man,1988.0,0.3821138211382114,0.628,0.698,0.689,0.669,individual|mentally disabled|autism|loss of father|yuppie|car dealer|egocentrism|travel|convertible|psychiatrist|duringcreditsstinger|savant,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Italiano,United States of America,7.6
1595,Gran Torino,2008.0,0.14579347777728344,0.686,0.755,0.692,0.669,rape|war veteran|immigration|priest|gang|old man|teenager|gangster|detroit|widower|car|hmong,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.8
1596,W.,2008.0,0.11064643858166126,0.653,0.653,0.639,0.678,usa|white house|usa president|george w. bush|president|iraq war,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.]",Español,United States of America,6.1
1597,Taken,2008.0,0.11020153935133692,0.633,0.62,0.644,0.619,paris|kidnapping|human trafficking|rescue|prostitution|albanian|missing daughter|ex cia agent,"[ 1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,France,7.2
1598,The Best of Me,2014.0,0.10058221240714715,0.72,0.646,0.611,0.657,high school sweetheart,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.2
1599,The Bodyguard,1992.0,0.3106041614439709,0.565,0.622,0.638,0.642,sister sister relationship|anonymous letter|diva|bodyguard|oscar award|los angeles,"[ 1.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.
  0.]",English,United States of America,6.1
1600,Schindler's List,1993.0,0.24550898203592814,0.697,0.652,0.649,0.683,factory|concentration camp|hero|holocaust|world war ii|nazis|defense industry|biography|the holocaust,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.]",Deutsch,United States of America,8.3
